date,head,category,vendor,vendor_kind,line_item,amount,direction,flat_code,source_ref
2026-04-01,expense,Utilities,Airtel,company,Airtel Postpaid Connection,1214.82,D,,D|Utilities|Airtel|Airtel Postpaid Connection|2026-04
2026-05-01,expense,Utilities,Airtel,company,Airtel Postpaid Connection,1414.82,D,,D|Utilities|Airtel|Airtel Postpaid Connection|2026-05
2026-06-01,expense,Utilities,Airtel,company,Airtel Postpaid Connection,1428.98,D,,D|Utilities|Airtel|Airtel Postpaid Connection|2026-06
2026-07-01,expense,Utilities,Airtel,company,Airtel Postpaid Connection,1414.82,D,,D|Utilities|Airtel|Airtel Postpaid Connection|2026-07
2026-04-01,expense,Uncategorized,Individual,individual,Amazon Purchase,61049,D,,D|Uncategorized|Individual|Amazon Purchase|2026-04
2026-05-01,expense,Uncategorized,Individual,individual,Amazon Purchase,7590.36,D,,D|Uncategorized|Individual|Amazon Purchase|2026-05
2026-06-01,expense,Uncategorized,Individual,individual,Amazon Purchase,12018.34,D,,D|Uncategorized|Individual|Amazon Purchase|2026-06
2026-07-01,expense,Uncategorized,Individual,individual,Amazon Purchase,4455.04,D,,D|Uncategorized|Individual|Amazon Purchase|2026-07
2026-04-01,expense,Maintenance,Individual,individual,AMC (Lift),30000,D,,D|Maintenance|Individual|AMC (Lift)|2026-04
2026-06-01,expense,Maintenance,Individual,individual,AMC (Lift),150000,D,,D|Maintenance|Individual|AMC (Lift)|2026-06
2026-06-01,expense,Uncategorized,Individual,individual,Annual Compliance Expense,55000,D,,D|Uncategorized|Individual|Annual Compliance Expense|2026-06
2026-04-01,expense,Utilities,BESCOM,company,BESCOM A Block,154999,D,,D|Utilities|BESCOM|BESCOM A Block|2026-04
2026-05-01,expense,Utilities,BESCOM,company,BESCOM A Block,175902,D,,D|Utilities|BESCOM|BESCOM A Block|2026-05
2026-04-01,expense,Utilities,BESCOM,company,BESCOM B Block,46130,D,,D|Utilities|BESCOM|BESCOM B Block|2026-04
2026-05-01,expense,Utilities,BESCOM,company,BESCOM B Block,43011,D,,D|Utilities|BESCOM|BESCOM B Block|2026-05
2026-04-01,expense,Utilities,BESCOM,company,BESCOM E Block,79692,D,,D|Utilities|BESCOM|BESCOM E Block|2026-04
2026-05-01,expense,Utilities,BESCOM,company,BESCOM E Block,102431,D,,D|Utilities|BESCOM|BESCOM E Block|2026-05
2026-04-01,expense,Utilities,BESCOM,company,BESCOM G Block,78966,D,,D|Utilities|BESCOM|BESCOM G Block|2026-04
2026-05-01,expense,Utilities,BESCOM,company,BESCOM G Block,101572,D,,D|Utilities|BESCOM|BESCOM G Block|2026-05
2026-04-01,expense,Uncategorized,Individual,individual,Debris Disposal,9000,D,,D|Uncategorized|Individual|Debris Disposal|2026-04
2026-05-01,expense,Uncategorized,Individual,individual,Debris Disposal,19300,D,,D|Uncategorized|Individual|Debris Disposal|2026-05
2026-06-01,expense,Uncategorized,Individual,individual,Debris Disposal,20400,D,,D|Uncategorized|Individual|Debris Disposal|2026-06
2026-06-01,expense,Maintenance,Individual,individual,DG Service,12876.27,D,,D|Maintenance|Individual|DG Service|2026-06
2026-04-01,expense,Utilities,Individual,individual,Diesel,91401,D,,D|Utilities|Individual|Diesel|2026-04
2026-05-01,expense,Utilities,Individual,individual,Diesel,54822,D,,D|Utilities|Individual|Diesel|2026-05
2026-06-01,expense,Utilities,Individual,individual,Diesel,59784,D,,D|Utilities|Individual|Diesel|2026-06
2026-07-01,expense,Utilities,Individual,individual,Diesel,59784,D,,D|Utilities|Individual|Diesel|2026-07
2026-04-01,expense,Uncategorized,Individual,individual,Electricians Salary,75588.3,D,,D|Uncategorized|Individual|Electricians Salary|2026-04
2026-05-01,expense,Uncategorized,Individual,individual,Electricians Salary,82902.54,D,,D|Uncategorized|Individual|Electricians Salary|2026-05
2026-06-01,expense,Uncategorized,Individual,individual,Electricians Salary,86506.61,D,,D|Uncategorized|Individual|Electricians Salary|2026-06
2026-04-01,expense,Uncategorized,Individual,individual,Facility Manager,59421,D,,D|Uncategorized|Individual|Facility Manager|2026-04
2026-05-01,expense,Uncategorized,Individual,individual,Facility Manager,59421.11,D,,D|Uncategorized|Individual|Facility Manager|2026-05
2026-06-01,expense,Uncategorized,Individual,individual,Facility Manager,59421,D,,D|Uncategorized|Individual|Facility Manager|2026-06
2026-04-01,expense,Housekeeping,Individual,individual,Garbage removal,14000,D,,D|Housekeeping|Individual|Garbage removal|2026-04
2026-05-01,expense,Housekeeping,Individual,individual,Garbage removal,24000,D,,D|Housekeeping|Individual|Garbage removal|2026-05
2026-06-01,expense,Housekeeping,Individual,individual,Garbage removal,24000,D,,D|Housekeeping|Individual|Garbage removal|2026-06
2026-04-01,expense,Gardening,Individual,individual,Garden Tools,20280,D,,D|Gardening|Individual|Garden Tools|2026-04
2026-05-01,expense,Gardening,Individual,individual,Garden Tools,130,D,,D|Gardening|Individual|Garden Tools|2026-05
2026-07-01,expense,Gardening,Individual,individual,Garden Tools,1491,D,,D|Gardening|Individual|Garden Tools|2026-07
2026-04-01,expense,Gardening,Individual,individual,Gardeners Salary,83421,D,,D|Gardening|Individual|Gardeners Salary|2026-04
2026-05-01,expense,Gardening,Individual,individual,Gardeners Salary,87561,D,,D|Gardening|Individual|Gardeners Salary|2026-05
2026-06-01,expense,Gardening,Individual,individual,Gardeners Salary,85346.1,D,,D|Gardening|Individual|Gardeners Salary|2026-06
2026-04-01,expense,Gardening,Individual,individual,Gardening Supervisor Salary,24471.07,D,,D|Gardening|Individual|Gardening Supervisor Salary|2026-04
2026-05-01,expense,Gardening,Individual,individual,Gardening Supervisor Salary,23681.69,D,,D|Gardening|Individual|Gardening Supervisor Salary|2026-05
2026-06-01,expense,Gardening,Individual,individual,Gardening Supervisor Salary,23627.24,D,,D|Gardening|Individual|Gardening Supervisor Salary|2026-06
2026-04-01,expense,Uncategorized,Individual,individual,Help Desk Salary,22948.08,D,,D|Uncategorized|Individual|Help Desk Salary|2026-04
2026-05-01,expense,Uncategorized,Individual,individual,Help Desk Salary,27759.6,D,,D|Uncategorized|Individual|Help Desk Salary|2026-05
2026-06-01,expense,Uncategorized,Individual,individual,Help Desk Salary,24860.42,D,,D|Uncategorized|Individual|Help Desk Salary|2026-06
2026-04-01,expense,Housekeeping,Individual,individual,HK Materials,45317,D,,D|Housekeeping|Individual|HK Materials|2026-04
2026-05-01,expense,Housekeeping,Individual,individual,HK Materials,34857.6,D,,D|Housekeeping|Individual|HK Materials|2026-05
2026-07-01,expense,Housekeeping,Individual,individual,HK Materials,575,D,,D|Housekeeping|Individual|HK Materials|2026-07
2026-04-01,expense,Housekeeping,Individual,individual,House Keeping Janitor Salary,236717.04,D,,D|Housekeeping|Individual|House Keeping Janitor Salary|2026-04
2026-05-01,expense,Housekeeping,Individual,individual,House Keeping Janitor Salary,313817.43,D,,D|Housekeeping|Individual|House Keeping Janitor Salary|2026-05
