date,head,category,vendor,line_item,amount,direction,flat_code,source_ref
2025-10-01,income,Maintenance Outstanding,Apartment Owners,Previous Arrears Brought Forward,250000,C,,OUT-BF-2025-10
2025-10-01,income,Maintenance Outstanding,Apartment Owners,Current Month Unpaid Maintenance,200000,C,,OUT-CUR-2025-10
2025-11-01,income,Maintenance Outstanding,Apartment Owners,Current Month Unpaid Maintenance,210000,C,,OUT-CUR-2025-11
2025-12-01,income,Maintenance Outstanding,Apartment Owners,Current Month Unpaid Maintenance,220000,C,,OUT-CUR-2025-12
2026-01-01,income,Maintenance Outstanding,Apartment Owners,Current Month Unpaid Maintenance,230000,C,,OUT-CUR-2026-01
2026-02-01,income,Maintenance Outstanding,Apartment Owners,Current Month Unpaid Maintenance,240000,C,,OUT-CUR-2026-02
2026-03-01,income,Maintenance Outstanding,Apartment Owners,Current Month Unpaid Maintenance,250000,C,,OUT-CUR-2026-03
2026-04-01,income,Maintenance Outstanding,Apartment Owners,Current Month Unpaid Maintenance,260000,C,,OUT-CUR-2026-04
2026-05-01,income,Maintenance Outstanding,Apartment Owners,Current Month Unpaid Maintenance,270000,C,,OUT-CUR-2026-05
2026-06-01,income,Maintenance Outstanding,Apartment Owners,Current Month Unpaid Maintenance,280000,C,,OUT-CUR-2026-06
2026-07-01,income,Maintenance Outstanding,Apartment Owners,Current Month Unpaid Maintenance,290000,C,,OUT-CUR-2026-07
