date,head,category,vendor,line_item,amount,direction,flat_code,source_ref
2025-10-01,reference,Maintenance Rate Reference,Rate Card,Cost Per Sqft x100,400,C,,
2025-11-01,reference,Maintenance Rate Reference,Rate Card,Cost Per Sqft x100,400,C,,
2025-12-01,reference,Maintenance Rate Reference,Rate Card,Cost Per Sqft x100,400,C,,
2026-01-01,reference,Maintenance Rate Reference,Rate Card,Cost Per Sqft x100,400,C,,
2026-02-01,reference,Maintenance Rate Reference,Rate Card,Cost Per Sqft x100,400,C,,
2026-03-01,reference,Maintenance Rate Reference,Rate Card,Cost Per Sqft x100,400,C,,
2026-04-01,reference,Maintenance Rate Reference,Rate Card,Cost Per Sqft x100,400,C,,
2026-05-01,reference,Maintenance Rate Reference,Rate Card,Cost Per Sqft x100,400,C,,
2026-06-01,reference,Maintenance Rate Reference,Rate Card,Cost Per Sqft x100,400,C,,
2026-07-01,reference,Maintenance Rate Reference,Rate Card,Cost Per Sqft x100,410,C,,
2026-08-01,reference,Maintenance Rate Reference,Rate Card,Cost Per Sqft x100,420,C,,
