date,head,category,vendor,vendor_kind,line_item,amount,direction,flat_code,source_ref
2025-08-15,expense,Utilities,Bescom,company,Common area electricity,48000,D,,D|Utilities|Bescom|Common area electricity|2025-08
2025-09-15,expense,Utilities,Bescom,company,Common area electricity,51366,D,,D|Utilities|Bescom|Common area electricity|2025-09
2025-10-15,expense,Utilities,Bescom,company,Common area electricity,51637,D,,D|Utilities|Bescom|Common area electricity|2025-10
2025-11-15,expense,Utilities,Bescom,company,Common area electricity,48564,D,,D|Utilities|Bescom|Common area electricity|2025-11
2025-12-15,expense,Utilities,Bescom,company,Common area electricity,44973,D,,D|Utilities|Bescom|Common area electricity|2025-12
2026-01-15,expense,Utilities,Bescom,company,Common area electricity,44164,D,,D|Utilities|Bescom|Common area electricity|2026-01
2026-02-15,expense,Utilities,Bescom,company,Common area electricity,46882,D,,D|Utilities|Bescom|Common area electricity|2026-02
2026-03-15,expense,Utilities,Bescom,company,Common area electricity,50628,D,,D|Utilities|Bescom|Common area electricity|2026-03
2026-04-15,expense,Utilities,Bescom,company,Common area electricity,51957,D,,D|Utilities|Bescom|Common area electricity|2026-04
2026-05-15,expense,Utilities,Bescom,company,Common area electricity,49648,D,,D|Utilities|Bescom|Common area electricity|2026-05
2026-06-15,expense,Utilities,Bescom,company,Common area electricity,45824,D,,D|Utilities|Bescom|Common area electricity|2026-06
2026-07-15,expense,Utilities,Bescom,company,Common area electricity,44000,D,,D|Utilities|Bescom|Common area electricity|2026-07
2025-08-15,expense,Utilities,Bescom,company,Backup usage,12000,D,,D|Utilities|Bescom|Backup usage|2025-08
2025-09-15,expense,Utilities,Bescom,company,Backup usage,14945,D,,D|Utilities|Bescom|Backup usage|2025-09
2025-11-15,expense,Utilities,Bescom,company,Backup usage,12494,D,,D|Utilities|Bescom|Backup usage|2025-11
2025-12-15,expense,Utilities,Bescom,company,Backup usage,9351,D,,D|Utilities|Bescom|Backup usage|2025-12
2026-01-15,expense,Utilities,Bescom,company,Backup usage,8644,D,,D|Utilities|Bescom|Backup usage|2026-01
2026-02-15,expense,Utilities,Bescom,company,Backup usage,11022,D,,D|Utilities|Bescom|Backup usage|2026-02
2026-03-15,expense,Utilities,Bescom,company,Backup usage,14299,D,,D|Utilities|Bescom|Backup usage|2026-03
