date,head,category,vendor,vendor_kind,line_item,amount,direction,flat_code,source_ref
8/15/2025,expense,Utilities,Bescom,company,Common area electricity,48000,D,,
9/15/2025,expense,Utilities,Bescom,company,Common area electricity,51366,D,,
10/15/2025,expense,Utilities,Bescom,company,Common area electricity,51637,D,,
11/15/2025,expense,Utilities,Bescom,company,Common area electricity,48564,D,,
12/15/2025,expense,Utilities,Bescom,company,Common area electricity,44973,D,,
1/15/2026,expense,Utilities,Bescom,company,Common area electricity,44164,D,,
2/15/2026,expense,Utilities,Bescom,company,Common area electricity,46882,D,,
3/15/2026,expense,Utilities,Bescom,company,Common area electricity,50628,D,,
4/15/2026,expense,Utilities,Bescom,company,Common area electricity,51957,D,,
5/15/2026,expense,Utilities,Bescom,company,Common area electricity,49648,D,,
6/15/2026,expense,Utilities,Bescom,company,Common area electricity,45824,D,,
7/15/2026,expense,Utilities,Bescom,company,Common area electricity,44000,D,,
8/15/2025,expense,Utilities,Bescom,company,Backup usage,12000,D,,
9/15/2025,expense,Utilities,Bescom,company,Backup usage,14945,D,,
11/15/2025,expense,Utilities,Bescom,company,Backup usage,12494,D,,
12/15/2025,expense,Utilities,Bescom,company,Backup usage,9351,D,,
1/15/2026,expense,Utilities,Bescom,company,Backup usage,8644,D,,
2/15/2026,expense,Utilities,Bescom,company,Backup usage,11022,D,,
3/15/2026,expense,Utilities,Bescom,company,Backup usage,14299,D,,
5/15/2026,expense,Utilities,Bescom,company,Backup usage,13442,D,,
6/15/2026,expense,Utilities,Bescom,company,Backup usage,10096,D,,
7/15/2026,expense,Utilities,Bescom,company,Backup usage,8500,D,,
8/15/2025,expense,Utilities,BWSSB,company,Water charges,32000,D,,
9/15/2025,expense,Utilities,BWSSB,company,Water charges,33683,D,,
10/15/2025,expense,Utilities,BWSSB,company,Water charges,33819,D,,
11/15/2025,expense,Utilities,BWSSB,company,Water charges,32282,D,,
12/15/2025,expense,Utilities,BWSSB,company,Water charges,30486,D,,
1/15/2026,expense,Utilities,BWSSB,company,Water charges,30082,D,,
2/15/2026,expense,Utilities,BWSSB,company,Water charges,31441,D,,
3/15/2026,expense,Utilities,BWSSB,company,Water charges,33314,D,,
4/15/2026,expense,Utilities,BWSSB,company,Water charges,33979,D,,
5/15/2026,expense,Utilities,BWSSB,company,Water charges,32824,D,,
6/15/2026,expense,Utilities,BWSSB,company,Water charges,30912,D,,
7/15/2026,expense,Utilities,BWSSB,company,Water charges,30000,D,,
8/15/2025,expense,Maintenance,ABC Enterprise,company,Labour charges,65000,D,,
9/15/2025,expense,Maintenance,ABC Enterprise,company,Labour charges,67524,D,,
10/15/2025,expense,Maintenance,ABC Enterprise,company,Labour charges,67728,D,,
11/15/2025,expense,Maintenance,ABC Enterprise,company,Labour charges,65423,D,,
12/15/2025,expense,Maintenance,ABC Enterprise,company,Labour charges,62730,D,,
1/15/2026,expense,Maintenance,ABC Enterprise,company,Labour charges,62123,D,,
2/15/2026,expense,Maintenance,ABC Enterprise,company,Labour charges,64162,D,,
3/15/2026,expense,Maintenance,ABC Enterprise,company,Labour charges,66971,D,,
4/15/2026,expense,Maintenance,ABC Enterprise,company,Labour charges,67968,D,,
5/15/2026,expense,Maintenance,ABC Enterprise,company,Labour charges,66236,D,,
6/15/2026,expense,Maintenance,ABC Enterprise,company,Labour charges,63368,D,,
7/15/2026,expense,Maintenance,ABC Enterprise,company,Labour charges,62000,D,,
8/15/2025,expense,Maintenance,ABC Enterprise,company,Spare parts,18000,D,,
10/15/2025,expense,Maintenance,ABC Enterprise,company,Spare parts,23456,D,,
11/15/2025,expense,Maintenance,ABC Enterprise,company,Spare parts,18847,D,,
1/15/2026,expense,Maintenance,ABC Enterprise,company,Spare parts,12246,D,,
2/15/2026,expense,Maintenance,ABC Enterprise,company,Spare parts,16324,D,,
4/15/2026,expense,Maintenance,ABC Enterprise,company,Spare parts,23936,D,,
5/15/2026,expense,Maintenance,ABC Enterprise,company,Spare parts,20473,D,,
6/15/2026,expense,Maintenance,ABC Enterprise,company,Spare parts,14736,D,,
7/15/2026,expense,Maintenance,ABC Enterprise,company,Spare parts,12000,D,,
10/15/2025,expense,Maintenance,ABC Enterprise,company,STP salt purchase,9455,D,,
1/15/2026,expense,Maintenance,ABC Enterprise,company,STP salt purchase,8521,D,,
4/15/2026,expense,Maintenance,ABC Enterprise,company,STP salt purchase,9495,D,,
7/15/2026,expense,Maintenance,ABC Enterprise,company,STP salt purchase,8500,D,,
9/15/2025,expense,Maintenance,John (Plumber),individual,Plumbing repair,7445,D,,
11/15/2025,expense,Maintenance,John (Plumber),individual,Plumbing repair,4994,D,,
12/15/2025,expense,Maintenance,John (Plumber),individual,Plumbing repair,1851,D,,
3/15/2026,expense,Maintenance,John (Plumber),individual,Plumbing repair,6799,D,,
5/15/2026,expense,Maintenance,John (Plumber),individual,Plumbing repair,5942,D,,
6/15/2026,expense,Maintenance,John (Plumber),individual,Plumbing repair,2596,D,,
8/15/2025,expense,Security,SafeGuard Services,company,Guard salaries,120000,D,,
9/15/2025,expense,Security,SafeGuard Services,company,Guard salaries,121683,D,,
10/15/2025,expense,Security,SafeGuard Services,company,Guard salaries,121819,D,,
11/15/2025,expense,Security,SafeGuard Services,company,Guard salaries,120282,D,,
12/15/2025,expense,Security,SafeGuard Services,company,Guard salaries,118486,D,,
1/15/2026,expense,Security,SafeGuard Services,company,Guard salaries,118082,D,,
2/15/2026,expense,Security,SafeGuard Services,company,Guard salaries,119441,D,,
3/15/2026,expense,Security,SafeGuard Services,company,Guard salaries,121314,D,,
4/15/2026,expense,Security,SafeGuard Services,company,Guard salaries,121979,D,,
5/15/2026,expense,Security,SafeGuard Services,company,Guard salaries,120824,D,,
6/15/2026,expense,Security,SafeGuard Services,company,Guard salaries,118912,D,,
7/15/2026,expense,Security,SafeGuard Services,company,Guard salaries,118000,D,,
8/15/2025,expense,Housekeeping,CleanCo,company,Staff wages,58000,D,,
9/15/2025,expense,Housekeeping,CleanCo,company,Staff wages,59262,D,,
10/15/2025,expense,Housekeeping,CleanCo,company,Staff wages,59364,D,,
11/15/2025,expense,Housekeeping,CleanCo,company,Staff wages,58212,D,,
12/15/2025,expense,Housekeeping,CleanCo,company,Staff wages,56865,D,,
1/15/2026,expense,Housekeeping,CleanCo,company,Staff wages,56562,D,,
2/15/2026,expense,Housekeeping,CleanCo,company,Staff wages,57581,D,,
3/15/2026,expense,Housekeeping,CleanCo,company,Staff wages,58985,D,,
4/15/2026,expense,Housekeeping,CleanCo,company,Staff wages,59484,D,,
5/15/2026,expense,Housekeeping,CleanCo,company,Staff wages,58618,D,,
6/15/2026,expense,Housekeeping,CleanCo,company,Staff wages,57184,D,,
7/15/2026,expense,Housekeeping,CleanCo,company,Staff wages,56500,D,,
8/15/2025,expense,Housekeeping,CleanCo,company,Cleaning supplies,7500,D,,
9/15/2025,expense,Housekeeping,CleanCo,company,Cleaning supplies,8762,D,,
10/15/2025,expense,Housekeeping,CleanCo,company,Cleaning supplies,8864,D,,
11/15/2025,expense,Housekeeping,CleanCo,company,Cleaning supplies,7712,D,,
12/15/2025,expense,Housekeeping,CleanCo,company,Cleaning supplies,6365,D,,
1/15/2026,expense,Housekeeping,CleanCo,company,Cleaning supplies,6062,D,,
2/15/2026,expense,Housekeeping,CleanCo,company,Cleaning supplies,7081,D,,
3/15/2026,expense,Housekeeping,CleanCo,company,Cleaning supplies,8485,D,,
4/15/2026,expense,Housekeeping,CleanCo,company,Cleaning supplies,8984,D,,
5/15/2026,expense,Housekeeping,CleanCo,company,Cleaning supplies,8118,D,,
6/15/2026,expense,Housekeeping,CleanCo,company,Cleaning supplies,6684,D,,
7/15/2026,expense,Housekeeping,CleanCo,company,Cleaning supplies,6000,D,,
8/15/2025,expense,Petty Cash,Office petty cash,individual,Ad-hoc expenses,6000,D,,
9/15/2025,expense,Petty Cash,Office petty cash,individual,Ad-hoc expenses,10628,D,,
10/15/2025,expense,Petty Cash,Office petty cash,individual,Ad-hoc expenses,11001,D,,
11/15/2025,expense,Petty Cash,Office petty cash,individual,Ad-hoc expenses,6776,D,,
12/15/2025,expense,Petty Cash,Office petty cash,individual,Ad-hoc expenses,1838,D,,
1/15/2026,expense,Petty Cash,Office petty cash,individual,Ad-hoc expenses,726,D,,
2/15/2026,expense,Petty Cash,Office petty cash,individual,Ad-hoc expenses,4463,D,,
3/15/2026,expense,Petty Cash,Office petty cash,individual,Ad-hoc expenses,9613,D,,
4/15/2026,expense,Petty Cash,Office petty cash,individual,Ad-hoc expenses,11441,D,,
5/15/2026,expense,Petty Cash,Office petty cash,individual,Ad-hoc expenses,8267,D,,
6/15/2026,expense,Petty Cash,Office petty cash,individual,Ad-hoc expenses,3008,D,,
7/15/2026,expense,Petty Cash,Office petty cash,individual,Ad-hoc expenses,500,D,,
8/15/2025,income,Maintenance Collections,Monthly maintenance,company,Flat maintenance dues,340000,C,,
9/15/2025,income,Maintenance Collections,Monthly maintenance,company,Flat maintenance dues,352622,C,,
10/15/2025,income,Maintenance Collections,Monthly maintenance,company,Flat maintenance dues,353639,C,,
11/15/2025,income,Maintenance Collections,Monthly maintenance,company,Flat maintenance dues,342117,C,,
12/15/2025,income,Maintenance Collections,Monthly maintenance,company,Flat maintenance dues,328648,C,,
1/15/2026,income,Maintenance Collections,Monthly maintenance,company,Flat maintenance dues,325616,C,,
2/15/2026,income,Maintenance Collections,Monthly maintenance,company,Flat maintenance dues,335809,C,,
3/15/2026,income,Maintenance Collections,Monthly maintenance,company,Flat maintenance dues,349855,C,,
4/15/2026,income,Maintenance Collections,Monthly maintenance,company,Flat maintenance dues,354840,C,,
5/15/2026,income,Maintenance Collections,Monthly maintenance,company,Flat maintenance dues,346182,C,,
6/15/2026,income,Maintenance Collections,Monthly maintenance,company,Flat maintenance dues,331840,C,,
7/15/2026,income,Maintenance Collections,Monthly maintenance,company,Flat maintenance dues,325000,C,,
8/15/2025,income,Other Income,Community Hall,company,Hall rental,18000,C,,
10/15/2025,income,Other Income,Community Hall,company,Hall rental,25274,C,,
11/15/2025,income,Other Income,Community Hall,company,Hall rental,19129,C,,
