date,head,category,vendor,vendor_kind,line_item,amount,direction,flat_code,source_ref
2025-08-15,expense,Utilities,Bescom,company,Common area electricity,48000,D,,
2025-09-15,expense,Utilities,Bescom,company,Common area electricity,51366,D,,
2025-10-15,expense,Utilities,Bescom,company,Common area electricity,51637,D,,
2025-11-15,expense,Utilities,Bescom,company,Common area electricity,48564,D,,
2025-12-15,expense,Utilities,Bescom,company,Common area electricity,44973,D,,
2026-01-15,expense,Utilities,Bescom,company,Common area electricity,44164,D,,
2026-02-15,expense,Utilities,Bescom,company,Common area electricity,46882,D,,
2026-03-15,expense,Utilities,Bescom,company,Common area electricity,50628,D,,
2026-04-15,expense,Utilities,Bescom,company,Common area electricity,51957,D,,
2026-05-15,expense,Utilities,Bescom,company,Common area electricity,49648,D,,
2026-06-15,expense,Utilities,Bescom,company,Common area electricity,45824,D,,
2026-07-15,expense,Utilities,Bescom,company,Common area electricity,44000,D,,
2025-08-15,expense,Utilities,Bescom,company,Backup usage,12000,D,,
2025-09-15,expense,Utilities,Bescom,company,Backup usage,14945,D,,
2025-11-15,expense,Utilities,Bescom,company,Backup usage,12494,D,,
2025-12-15,expense,Utilities,Bescom,company,Backup usage,9351,D,,
2026-01-15,expense,Utilities,Bescom,company,Backup usage,8644,D,,
2026-02-15,expense,Utilities,Bescom,company,Backup usage,11022,D,,
2026-03-15,expense,Utilities,Bescom,company,Backup usage,14299,D,,
2026-05-15,expense,Utilities,Bescom,company,Backup usage,13442,D,,
2026-06-15,expense,Utilities,Bescom,company,Backup usage,10096,D,,
2026-07-15,expense,Utilities,Bescom,company,Backup usage,8500,D,,
2025-08-15,expense,Utilities,BWSSB,company,Water charges,32000,D,,
2025-09-15,expense,Utilities,BWSSB,company,Water charges,33683,D,,
2025-10-15,expense,Utilities,BWSSB,company,Water charges,33819,D,,
2025-11-15,expense,Utilities,BWSSB,company,Water charges,32282,D,,
2025-12-15,expense,Utilities,BWSSB,company,Water charges,30486,D,,
2026-01-15,expense,Utilities,BWSSB,company,Water charges,30082,D,,
2026-02-15,expense,Utilities,BWSSB,company,Water charges,31441,D,,
2026-03-15,expense,Utilities,BWSSB,company,Water charges,33314,D,,
2026-04-15,expense,Utilities,BWSSB,company,Water charges,33979,D,,
2026-05-15,expense,Utilities,BWSSB,company,Water charges,32824,D,,
2026-06-15,expense,Utilities,BWSSB,company,Water charges,30912,D,,
2026-07-15,expense,Utilities,BWSSB,company,Water charges,30000,D,,
2025-08-15,expense,Maintenance,ABC Enterprise,company,Labour charges,65000,D,,
2025-09-15,expense,Maintenance,ABC Enterprise,company,Labour charges,67524,D,,
2025-10-15,expense,Maintenance,ABC Enterprise,company,Labour charges,67728,D,,
2025-11-15,expense,Maintenance,ABC Enterprise,company,Labour charges,65423,D,,
